en,zh,note
Ascendance,升华,
Terror,恐惧化身,
Healthy,身体健康,
Magical,魔法天赋,
Training,训练有素,
Flee,脚底抹油,
Sixth Sense,第六感,
Teleport,传送,
Well-Armed,武装到牙齿,
Preparation,准备妥当,
Smash,猛击,
Heal,治疗,
Poisonous,天生毒体,
Fluid,行云流水,
Vampiric,吸血,
Fiery,火焰亲和,
Invisibility,隐身,
Clear Mind,思路清晰,
Hoard,囤积,
Portent,预兆,
Sorcerous,巫术,
Heroic,英雄气概,
Sneaky,狡诈,
Warlike,好战,
Pious,虔诚,
Desperate,绝望,
Impervious,无敌,
Crumble,崩溃,
Ding!,叮!,
Copy,复制,
Sublime,崇高,
Charismatic,魅力,
Tiltowait,【!】等待倾斜,
Archmage,大法师,
Master Thief,盗贼大师,
Polymorph,变形术,
Rich,富有,
Quick,敏捷,
Equipped,全副武装,
Immortal,非凡,
Purity,纯洁,
Cruel,残忍,
Cowardly,胆怯,
Invisible,不可视,
Smart,聪慧,
