en,zh,note
Altar to ,,
Altar,的祭坛,OUTFIX
Bandage,绷带,
Heal ,治愈 ,
Open,打开,TREASURE
Discard The Rest,丢弃余下,TREASURE
Come Back Later,待会再来,TREASURE
Learn,习得,TREASURE
Gain,获取,TREASURE
Take,拿走,TREASURE
Treasure Chest,宝箱,TREASURE
Blacksmith,铁匠铺,
Healing Pool,治愈之泉,
Investigate,调查,
Talk,交谈,
Learn,习得,
Crazy Old Man,疯老头,
Monastery,修道院,
Complete Level,完成本层,
Stairs Down,向下延伸的楼梯,
Great!,好耶！,
Linda's Lemonade,琳达柠檬水(能力),
Gouda's Gummy Goodness,古达优选(商店),
A Strange Place,一个有点奇怪的地方,
A Stranger Place,一个更加古怪的地方,
The Strangest Place,一个诡异至极的地方,
The End?,结束了？,
green,绿色的,LEVELSTART
a hundred,成百上千的,LEVELSTART
enormous,巨大的,LEVELSTART
flaming,燃烧的,LEVELSTART
serrated,锯齿状的,LEVELSTART
yellow,黄色的,LEVELSTART
toes,脚趾,LEVELSTART
arms,手臂,LEVELSTART
ears,耳朵,LEVELSTART
fingernails,指甲,LEVELSTART
elbows,手肘,LEVELSTART
knees,膝盖,LEVELSTART
breath that can curdle ,其吐息可以凝成,LEVELSTART
eyes on the back of his neck,其眼长在脖颈后,LEVELSTART
a devastating sneeze,其喷嚏可以摧毁房屋,LEVELSTART
hair that dances on its own,其头发可以自如舞动,LEVELSTART
tiny feet,其有一双小巧的脚,LEVELSTART
an unending appetite for ,其无尽欲望始终渴求着,LEVELSTART
grape juice,葡萄汁,LEVELSTART
orange juice,橙汁,LEVELSTART
lemonade,柠檬汁,LEVELSTART
soda,苏打水,LEVELSTART
apple juice,苹果汁,LEVELSTART
ginger ale,姜味汽水,LEVELSTART
cheese,芝士,LEVELSTART
yogurt,酸奶,LEVELSTART
noodles,面条,LEVELSTART
donuts,甜甜圈,LEVELSTART
romance novels,言情小说,LEVELSTART
crackers,薄脆饼干,LEVELSTART
  Stay far away!,  千万别靠近！,LEVELSTART
  Beware his wrath!,  当心他的怒火！,LEVELSTART
  Flee!  Flee!,  快逃吧！快逃啊！,LEVELSTART
  You can still escape!,  你还有机会逃跑！,LEVELSTART
  Hide while you can!,  尽你所能的躲起来吧！,LEVELSTART
  Nothing can defeat him.,  没有任何东西可以击败他。,LEVELSTART
Cool!,好耶！,
Throne,王座,
Claim the Throne,登上王座,
Cards,张卡牌,
Current Deck,当前卡组,
Mushroom Patch,蘑菇丛,
Hillditi's Happy House,<<SK|Hillditi>>的快乐屋,
Choose a card to give Dr. Hillditi,选择一张卡牌交给<<SK|Hillditi>>博士,
Huh,哈？,
Again! ({value} Left),再来! (剩余{value} 次),
Ok ({value} Left),好的 (剩余{value} 次),
ok,好的,BRAIN
phenomenal,非凡的,BRAIN
delicious,美味的,BRAIN
tasty,可口的,BRAIN
gross,恶心的,BRAIN
horrendous,骇人的,BRAIN
inedible,不宜食用的,BRAIN
Mushroom,绿蘑菇,
Invoke,呼唤,
Ok,好的,
Dragon Smash!,龙冲直撞！,
Tolga's Tavern,托尔加的酒馆,
Spike Trap,尖刺陷阱,
Ouch,嗷！,
Level ,等级  ,
