en,zh,note,
If At First,先死一次,
Not Dead Yet,还没死,
A Little Nap,小小的午觉,
Immortal,不死,
Magically Yummy,魔法美味,
Magically Tasty,魔法美味,
Magically Delicious,魔法美味,
Magically Scrumptious,魔法美味,
Carry a Big Stick,举起大棒,
Carry a Really Big Stick,举起真正的大棒,
Carry a Bludgeon,举起钝器,
Carry a Sledgehammer,举起大锤,
Walk in the Dungeon,走进地牢,
5K,走五千步,
Amazing Race,神奇的赛跑,
Marathon,马拉松,
Murder,谋杀,
Killing Spree,杀戮狂潮,
Slaughter,屠杀,
Devastation,毁灭,
Big Deck,大牌组,
Well-Stocked,牌组充足,
Mastermind,策士,
Power Overwhelming,力量压倒一切,
Unfriendly,不友好,
Bully,恃强凌弱,
Goblin Smasher,杀戮哥布林,
Goblin Bane,哥布林杀手,
Dodge This,闪避这招,
Nine Fewer Lives,九命怪猫,
Lizard Losses,蜥蜴伤亡,
Totem Crusher,图腾粉碎者,
Unclean Cleanser,清洁不洁之物,
Crusader,十字军战士,
Lights Out,灭灯,
Faerie-Free,精灵自由,
Elementary,基础,
Aperiodic,非周期性,
Dragon Tamer,龙之驯兽师,
Silkworm Size or Immense,丝蚕大小或巨型,
Sorcerous Champion,巫师冠军,
Sanctimonious Champion,圣洁冠军,
Sneaky Champion,偷偷的冠军,
Strong Champion,强大冠军,
Holy Champion,神圣冠军,
Poisonous Champion,有毒的冠军,
Ascetic Champion,苦行冠军,
Undying Champion,不朽的冠军,
Disciplined Champion,纪律冠军,
Wild Champion,野性冠军,
Natural Champion,天然冠军,
Musical Champion,音乐冠军,
Unlikely Champion,不太可能的冠军,
Academic Champion,学术冠军,
Altered Reality,变化现实,
Fickle,反复无常,
A Little Trip,小小的旅行,
Big Spender,大spender,
Pious,虔诚,
Down the Rabbit Hole,下兔子洞,
Deeper and Deeper,越来越深,
Ding!,叮!,
Still My Turn,还是我的回合,
Pure,纯净,
Merciful,仁慈,
Rich,富有,
Clarity,清晰,
All Natural,天然,
Well Begun,美好开始,
Lord of the Dream,梦之领主,
Dream Master,梦境大师,
Explorer,探险者,
Beast Master,野兽大师,
Goblin King,哥布林王,
Magic-Proof,魔法免疫,
More Wishes,更多愿望,
Clear Skies,晴空万里,
Slurp No More,不再啜饮,
Vampire Slayer,吸血鬼猎人,
Duh Nuh Duh Nuh Duh Nuh,嘟啦嘟啦嘟啦,
Lizard Master,蜥蜴大师,
Cat Killer,猫杀手,
Flame-Free,无火焰,
Mirror Breaker,打破镜子,
Faerie Queen,精灵女王,
No Lich,无巫妖,
Exorcist,驱魔人,
Giant Killer,巨人杀手,
So Many Heads,太多头,
Cold Turkey,冷火鸡,
Cracked the Kraken,击败海怪,
New Boss,新老板,
Sorcerous Savior,魔法救世主,
Sanctimonious Savior,自命圣洁救世主,
Sneaky Savior,偷偷的救世主,
Strong Savior,强大的救世主,
Holy Savior,神圣救世主,
Poisonous Savior,有毒的救世主,
Ascetic Savior,苦行救世主,
Undying Savior,不朽救世主,
Disciplined Savior,纪律救世主,
Wild Savior,野性救世主,
Natural Savior,天然救世主,
Musical Savior,音乐救世主,
Unlikely Savior,不太可能救世主,
Academic Savior,学术救世主,
Dungeon Sweeper,地牢清道夫,
Dream Team,梦之队,
Dreamiest Team,梦幻之队,
