en,zh,note
Play!,走起！,
View Achievements,成就图鉴,
View Bestiary,怪物图鉴,
High Scores,高分榜,
History,历史记录,
Exit Game,离开游戏,
Change,切换用户,USER
Credits,制作人员,
Change,切换难度,DIFF
View Cards,卡牌图鉴,
Placeholder,占位按钮,
Submit,确认种子,CODE
Enter Code,输入种子编号,
Replay,重玩,
Replayed games do not earn achievements.,重玩的游戏结算时无法解锁成就,
Choose your class,选择你的职业,
 only earns class specific achievements,仅可解锁职业特殊成就,
The , ,
Choose ,选择 ,
Dream Quest,<梦境任务>,
By Peter Whalen,作者 Peter Whalen,
Choose a difficulty,选择游戏难度,
Difficulty:,当前难度： ,
You have no history!  Go make some!,你还没历史呢！去创造点你的历史吧！,
Choose Profile,选择用户,
New,新建,PROFILE
Delete,删除,PROFILE
Enter Name,输入用户名,PROFILE
Submit,提交,PROFILE
Yes,确认,PROFILE
Cancel,取消,PROFILE
Are you sure you want to delete ,你确定要删除 ,PROFILE
Delete,删除,DUNGEON
Resume,继续,DUNGEON
Cancel,取消,DUNGEON
Kitten,小猫咪,
Grizzly Bear,灰熊,
Velociraptor,迅猛龙,
Need,需要,
Value,价格,
Unlock,解锁成就,ACHIEVEMENT
Completed!,已完成！,
Global High Score!, 全局新纪录！,UPDATE
 High Score!, 新纪录！,UPDATE
These points may be used to purchase achievements on the title screen.,成就点可用于在标题界面解锁成就。,
Copy Code,复制种子,
Copy to clipboard,复制到剪贴板,
Paste,粘贴,
Tinkering...,摆弄中……,GoblinMechanist
EXPLOSION!,爆炸了！,GoblinMechanist
Built ,造出了：,GoblinMechanist
